VIN	model_name	year	description	manufacturer_name	condition	vehicle_type	odometer	fuel_type	colors	purchase_date	price	purchased_from_customer	purchase_clerk	sale_date	sold_to_customer	salesperson
55M41D1AGKW204016	VOYAGER	2004	front axle assembly; 	Chrysler	Fair	Van	96380.0	Gas	Copper	2023-06-23	4123.82	B9892813591	user19	2023-08-12	A4599693068	user21
5DAWXIM4EAK735462	RAM 1500 TRUCK	2010	superturbocharger; 	Dodge	Very Good	Coupe	8190.0	Gas	Green	2023-04-23	7509.50	B5346544142	user11	2023-08-03	C3612640531	user12
5IZQ0A8JNL8536828	GENESIS	2010	high block; no understeer; wide chassis; 	Hyundai	Excellent	SUV	194926.0	Gas	Gray	2023-03-09	2156.31	84-6387554	user16			
5JVO4MGJYXC563627	LANCER	2003	sport utility vehicle-SUV; high differential; 	Mitsubishi	Fair	SUV	214962.0	Gas	Orange	2023-08-21	3332.56	46-7746081	user09			
5L5RPVESTIA976918	G37	2008	strong muffler; safe oil ring; 	INFINITI	Good	Minivan	151964.0	Plugin Hybrid	Green	2023-08-20	1014.91	B1456216849	user22			
5MS17EW23YR611242	COMMANDER	2010	wide chassis; 	Jeep	Fair	Minivan	167565.0	Gas	Navy	2022-08-28	1769.90	C0673239779	user19	2022-11-26	A1518047114	user23
5NFMDSJIMMB492412	TOWN CAR	2005	check the Monroney sticker - theer is nothing better than this vehicle; 	Lincoln	Fair	Coupe	99042.0	Diesel	Red	2023-04-23	4026.11	A0461291890	user04			
5T3XYBUNB63008211	TRX350FE FOURTRAX RANCHER 4X4 ES	2005	detail; 	Honda	Excellent	Sedan	84530.0	Gas	Orange	2023-06-16	7061.50	B3463874026	user13	2023-07-26	A9525842110	user01
5WKWALJ4EQU001163	COOPER COUNTRYMAN	2015		MINI	Good	SUV	64266.0	Natural Gas	Claret	2023-05-19	1470.45	A9302873941	user11	2023-06-06	C3914994260	user25
63OUTYEBN7D928507	TOWN CAR	2011	manual transmission; 	Lincoln	Fair	Convertible	99484.0	Gas	Cream	2023-04-12	4026.11	C2776254573	user09			
65ISMOWUBDU569125	CTS	2007	superturbocharger; 	Cadillac	Fair	Van	84921.0	Diesel	Bronze	2022-08-08	3394.76	D5713874463	user04	2022-12-28	20-2164350	user21
67BQ74RV204502543	GALLARDO	2006	high volume cylinder; pickup; 	Lamborghini	Fair	Minivan	40632.0	Gas	Pink	2023-01-26	3551.46	C0844073746	user22	2023-03-12	D4831519171	user12
6AZQDNCM3G6215989	DISCOVERY	2015	crankcase; rear wheel drive; 	Land Rover	Fair	Minivan	161200.0	Gas	Claret	2023-04-14	1736.94	43-3403883	user11			
6LYU65SHD4H127612	CAYMAN	2015		Porsche	Fair	SUV	23928.0	Gas	Red,Rose	2023-02-06	2723.58	B0867624567	user10			
6N5JA7X7LX2749307	EXPEDITION	2011	small spark plug gap; active safety features; 	Ford	Good	Minivan	139500.0	Hybrid	Rust	2023-04-18	1530.69	B8644575091	user06	2023-07-12	B6847040699	user20
6WRD8C6784B120048	EMGRAND S	2019	high volume cylinder; 	Geeley	Good	Minivan	11497.0	Gas	Cream	2022-07-08	2016.09	C3378134863	user10	2022-08-14	50-0389893	user23
6ZG2Z4HYIKW532605	FORTWO	2010	high quality carburetor; 	smart	Fair	Convertible	126495.0	Hybrid	Gold	2022-08-17	4646.30	A7586405617	owner	2022-10-15	62-4702974	user03
72OI8SLM4HN113041	MP4-12C	2014	coupe; unibody construction; 	McLaren	Excellent	Coupe	58070.0	Plugin Hybrid	Navy	2022-10-19	1262.57	A7410218307	owner			
72SCGHC1RB4779672	QUATTROPORTE	2012	original equipment manufacturer (OEM) parts; 	Maserati	Fair	Convertible	129735.0	Gas	Brown	2022-11-18	1794.24	C4774668646	user10			
73HIEJVMY26464395	JETTA	2008	rack and pinion steering; 	Volkswagen	Good	Van	6216.0	Gas	Maroon,Turquoise,Yellow	2023-02-25	5059.91	33-2934805	user11	2023-06-14	85-5840713	user23
7ZGFTG3CJWB276675	EV	2023	four-wheel drive; 	XPeng	Good	Coupe	52210.0	Plugin Hybrid	Metallic	2023-03-27	4630.84	68-4606539	user13			
8CR4YKPMHVR077313	GS-6 PROS	2023	rear wheel drive; crumple zones; automatic valves; 	Karma	Excellent	Coupe	115950.0	Gas	Copper	2022-12-29	1647.91	D3479521146	user18	2023-08-29	D9669540937	user14
8FDAK0CPTWA122888	TRX500FE FOURTRAX FOREMAN 4X4 ES	2013	no backfire/backfiring; 	Honda	Fair	Minivan	39708.0	Gas	Tan	2022-11-22	1276.63	B9346967347	user22			
8JVUFKHA0TM075506	MX-5 MIATA	2011	superturbocharger; 	MAZDA	Excellent	Convertible	191186.0	Gas	Brown	2022-07-11	4113.86	C3612640531	user06	2022-09-26	A3710653626	owner
8LPZZLYHF77014597	S40	2009	no understeer; 	Volvo	Good	Minivan	198456.0	Gas	Bronze,Gray,Rose	2023-07-22	3754.85	A2135848728	user13	2023-08-08	C0673239779	user12
8SGNAEKKQ0B252643	SONATA	2009		Hyundai	Excellent	Truck	41010.0	Plugin Hybrid	Metallic	2023-03-10	1802.04	D0665878931	user19	2023-06-01	D1357716930	user23
8U653RXUMZY984495	VOLT	2012	sturdy side impact beams; Automotive Service Excellence (ASE); 	Chevrolet	Fair	Van	151216.0	Gas	Red	2023-07-24	3535.41	A2836727024	user11			
8UU0VC3VENC905922	RANGE ROVER SPORT	2010	manual transmission; 	Land Rover	Good	Coupe	5090.0	Diesel	Blue,Cream	2022-11-12	3809.86	A5517572915	user06	2023-03-07	D2600960022	user21
8VGJ74SC8UK076966	CX-9	2010	super new ignition system; 	MAZDA	Very Good	Coupe	87102.0	Gas	Silver	2022-11-15	3528.70	A4599693068	user18	2022-11-30	A6986218675	user25
8W38A5ZZFKA123439	P1	2014	automatic torque converter; 	McLaren	Very Good	Convertible	31607.0	Hybrid	Navy	2022-09-27	4980.10	A0615216027	user04			
8WLKEABOQM5965804	REGAL	2013	great engine; great rpms; minivan; 	Buick	Excellent	Minivan	19770.0	Battery	Turquoise	2023-07-02	1984.05	B1715775889	user10	2023-07-30	94-7914925	user25
A1GTY6T551Q455502	EVORA	2011	sturdy rear axle assembly; high volume cylinder; 	Lotus	Excellent	Sedan	61770.0	Gas	Claret,Rust,Pink	2023-08-14	2526.28	B9946174152	user06	2023-08-23	B1961357406	user25
A1S3JZU0RGM394036	R1T	2023	high quality carburetor; 	Rivian	Excellent	Sedan	67510.0	Gas	Copper	2022-10-24	1053.89	A7994838891	user19	2023-01-30	C4236470136	user20
A58PSDYJWYD029917	ROADSTER	2008	ultra new transmission; 	Tesla	Good	Minivan	45288.0	Battery	Navy	2023-02-17	1818.28	C2423333296	user05			
ANW7EMLQVI6782246	LIBERTY	2006	best possible traction; engine displacement; 	Jeep	Excellent	Minivan	148550.0	Gas	Navy	2023-05-21	1386.63	A2836727024	user09			
AOIDQU2ROYY946376	G6	2021	great rpms; gap; good piston; 	XPeng	Excellent	Minivan	4801.0	Gas	Pink,Red	2023-07-27	6549.15	D0473669739	owner	2023-08-03	C8969012326	user08
B1NDXK4VPM8021524	COOPER	2013	wide chassis; small spark plug gap; 	MINI	Very Good	Truck	55260.0	Gas	Yellow	2023-02-15	1384.05	A7586405617	user09	2023-05-23	D8920288787	user08
B5Q25XY368S364688	ET7	2021	hatchback; 	Nio	Very Good	Truck	111552.0	Gas	Gray	2023-08-19	2793.26	A7994838891	user13	2023-08-29	C4236470136	user03
B68KFH50SOO194215	FORTWO	2010	no redline; drum brake; 	smart	Excellent	Coupe	10158.0	Gas	Black	2023-01-18	4646.30	B6082349948	user06			
BCTZOAWQMHJ300759	SPIDER	2008	four-wheel drive; 	Alfa Romeo	Excellent	Van	27144.0	Hybrid	Maroon	2023-04-04	4655.40	B1456216849	user22	2023-06-17	59-9733673	user25
BH6Z8Q8YUSV665327	OUTLANDER	2003	air filtration system; 	Mitsubishi	Excellent	SUV	110124.0	Hybrid	Purple	2023-07-06	1947.58	C7780413175	user16			
BJIK4PRL350875445	TRX500FPA FOURTRAX FOREMAN RUBICON	2014		Honda	Very Good	Truck	44326.0	Gas	Maroon	2023-05-07	4579.57	C8271029908	user19			
BKO2YY3HI56119138	YUKON	2015	wide transaxle; 	GMC	Very Good	Truck	2454.0	Gas	Claret,Gold	2023-08-01	15213.67	D9669540937	user13	2023-08-27	C5211782393	user25
BQ1P8TA2OBE090669	C70	2005	sturdy rear axle assembly; 	Volvo	Good	SUV	216546.0	Gas	Tan	2022-10-16	2690.25	A1663169974	user13			
BROAYF3JXYB733688	CALIFORNIA	2013	hydraulic brakes; power train; active safety features; 	Ferrari	Excellent	Coupe	49090.0	Gas	Maroon	2022-10-29	1310.54	B4419028056	user04			
BV7ZLIZN0R2917777	SIERRA 3500 HD	2008	overdrive; drum brake; best oil pump; 	GMC	Fair	Van	95020.0	Gas	Tan	2023-05-08	3794.47	C0844073746	user10			
BW4Z2PQG761237438	JOURNEY	2012	wide transaxle; automatic transmission; 	Dodge	Very Good	Sedan	12749.0	Diesel	Copper	2022-07-18	4422.04	B3463874026	user06	2023-08-01	A2580734753	user23
BYNUGAHZM1L977542	TRX90X	2014		Honda	Excellent	Convertible	80420.0	Hybrid	Claret	2022-12-26	1240.27	D8920288787	user18	2023-06-06	B0867624567	user23
CNBSW7RMXAE536762	SPIDER	2008		Alfa Romeo	Very Good	Coupe	14916.0	Hybrid	Green	2023-01-06	4655.40	B9892813591	user18			
CXGQS7AZP6I329568	XC60	2011		Volvo	Excellent	Coupe	97260.0	Fuel Cell	Tan	2023-04-30	1938.46	33-2934805	user04			
D244CUCA1UX127908	MP4-12C	2013	minivan; 	McLaren	Excellent	Minivan	13893.0	Gas	Blue	2022-08-06	1262.57	A6689897244	owner	2023-05-08	96-6692589	user12
DABGHKVUB2D696619	FIESTA IKON	2014	front axle assembly; 	Ford	Very Good	Convertible	2900.0	Gas	Yellow	2023-08-01	5730.36	B4419028056	user16	2023-08-23	C8766275993	user14
DBF5M62ODXK242204	DAKOTA	2010	manual transmission; good piston; high quality carburetor; 	Dodge	Good	Coupe	48386.0	Gas	Orange	2022-09-04	3833.25	C3612640531	user13	2023-04-04	D5269489570	owner
E5W8EPPWZS0896119	ES8 NEW	2021	convertible; 	Nio	Excellent	Coupe	8580.0	Hybrid	Rust	2023-02-24	11858.52	D6327656680	user04	2023-08-13	72-7273493	user20
EDH6BDC74XY589172	TL	2003	automatic torque converter; 	Acura	Very Good	Sedan	36240.0	Gas	Orange	2022-08-23	5125.59	D8920288787	user13	2022-09-28	A0673790301	user14
EJET1HMTOKB682315	RAM 2500 TRUCK	2004	normally aspirated; wide cam; 	Dodge	Very Good	SUV	21925.0	Gas	Gray	2023-03-29	1293.22	C3289101401	user18			
ELA1OD0NP7S259553	R32	2008	drum brake; best possible traction; wide chassis; 	Volkswagen	Very Good	Convertible	16304.0	Gas	Aluminum	2022-09-04	5438.85	C3378134863	user18	2023-02-16	72-6876442	user08
EQ22HWH3DG1475247	CTS	2012	can be used as sports car; 	Cadillac	Fair	Minivan	14318.0	Gas	White	2022-10-15	3394.76	C8766275993	user05	2022-10-24	A1981245672	user01
EQPAH1SUF8O016349	GSe-6	2023	no backfire/backfiring; 	Karma	Excellent	Minivan	16545.0	Gas	Copper	2023-08-21	8191.71	A8645646644	owner			
ETRV7OGUK1A265022	MPV	2006	autotachometer; 	MAZDA	Excellent	Coupe	3538.0	Gas	Rose	2023-03-11	3650.47	A2319552942	user10	2023-06-10	62-4702974	user03
EUNRBUAUCXQ934676	FORESTER	2010	original equipment manufacturer (OEM) parts; 	Subaru	Very Good	Minivan	33884.0	Gas	Bronze	2023-07-09	1670.87	50-0389893	user06	2023-07-21	C1217659257	user20
EV4TH4BF5DQ470200	QUATTROPORTE	2006	minivan; 	Maserati	Very Good	Truck	11695.0	Hybrid	Bronze	2023-08-03	1794.24	A7800747478	user05	2023-08-04	C4774668646	user12
EWUO21O8D0P959813	MULSANNE	2012	fuel injection; wide transaxle; 	Bentley	Fair	Sedan	6250.0	Diesel	Aluminum,Orange,Tan	2023-06-19	2176.29	B1456216849	user22			
EX0DFWC3FLW639681	CTS	2009	hatchback; high torque; 	Cadillac	Fair	Coupe	19166.0	Gas	Navy	2022-07-26	3394.76	B6710742108	user04	2023-06-08	A5517572915	user25
EYTJ0RTAAHK130156	FORFOUR	2005	best oil pump; 	smart	Good	Coupe	39320.0	Hybrid	Rust	2022-12-17	5236.88	24-4045456	user13			
EZ144Z2QAJC644839	A8 QUATTRO	2003	small spark plug gap; 	Audi	Excellent	Convertible	69820.0	Diesel	Aluminum,Bronze,Green	2022-11-04	1762.01	B8786618373	user16	2023-06-21	B6364451946	owner
EZ308PJB831681306	PROWLER	2002	best suspension; 	Chrysler	Excellent	Minivan	16716.0	Gas	White	2023-02-06	2354.81	B6364451946	user18			
F032TW1LYVD881430	ES8 NEW	2023	crumple zones; 	Nio	Very Good	Truck	134835.0	Gas	Beige	2023-04-01	3611.00	D0473669739	user04	2023-06-12	46-6607006	owner
F253TPAMQK3083569	458 ITALIA	2013	station wagon (Also known as wagon.); 	Ferrari	Good	Minivan	72556.0	Diesel	Gold	2022-08-28	2712.19	A8298794557	user09	2023-08-23	A4688720947	user07
F37VOS4G0QV020629	QUATTROPORTE	2007	high block; 	Maserati	Excellent	SUV	52831.0	Gas	Aluminum,White	2022-10-24	1794.24	B4925230252	user09			
F42NYNK4BK3657449	MKX	2007	high block; 	Lincoln	Fair	Coupe	92236.0	Diesel	Gray	2023-01-02	2478.11	C0844073746	user09	2023-02-22	A4688720947	user20
FA7LJ664E04088299	F800GS	2012	supernew catalytic converter; 	BMW	Very Good	SUV	25446.0	Gas	Maroon	2022-11-24	1360.83	94-6713384	user10			
FAQ8F8F300A215860	GS350	2009	automatic torque converter; 	Lexus	Good	Coupe	2224.0	Gas	Aluminum	2022-10-05	4986.09	A0936623718	user10			
FLACGVUE5FI388538	XKR	2003	innovative air bags; 	Jaguar	Good	Sedan	101265.0	Gas	Silver	2023-06-13	2173.13	D1415748069	user13	2023-07-25	A4604249337	user03
FPJBMT3OOG8061158	350Z	2005		Nissan	Excellent	Sedan	70100.0	Gas	Gray	2022-10-22	1720.36	B1852208630	user04	2023-03-10	B8644575091	user08
FW817ZV3BVG215163	ACCENT	2009	small spark plug gap; 	Hyundai	Very Good	Coupe	11612.0	Diesel	Purple	2022-12-22	1917.14	B1852208630	user06	2023-05-03	B5738835693	owner
FXCJT6N4BUT928292	G6	2020	unibody construction; 	XPeng	Excellent	Minivan	29688.0	Gas	White	2023-07-17	1621.16	B1653942479	user09	2023-07-22	D5508697748	user01
FXR24KBAHFZ139993	V8 VANTAGE	2009	automatic torque converter; 	Aston Martin	Good	Minivan	39454.0	Battery	Brown	2022-08-14	2834.73	C0673239779	user11	2022-11-02	C4299342425	user14
GC27VB8JWCD457186	COOPER	2002	no understeer; strong muffler; 	MINI	Fair	Sedan	120780.0	Diesel	Yellow	2022-08-08	1384.05	B1456216849	user06	2022-08-22	D5508697748	owner
GEW8SXH3TWS985107	RANGE ROVER	2008	pickup; 	Land Rover	Excellent	SUV	61620.0	Plugin Hybrid	Pink,Yellow	2023-03-23	3448.24	C8766275993	user22	2023-08-27	A9416682035	user14
GHEDZEHRLGJ237205	F800GT	2013	can be used as sports car; 	BMW	Excellent	Coupe	86082.0	Plugin Hybrid	Rust	2023-01-14	3343.31	A5415348781	user22	2023-03-26	D2600960022	user08
GNJQGN3RWIT431179	ES9 FUTURE	2023	super new ignition system; 	Nio	Good	Van	64530.0	Diesel	Blue	2022-12-11	3077.30	59-9733673	user09			
GTTYZXB3YJG754847	4C	2014	great engine; 	Alfa Romeo	Very Good	SUV	7898.0	Gas	Silver	2022-11-07	4281.97	B6010570650	user10	2023-07-02	29-6662491	user23
GZ81MW85M47387080	XKR-S	2015	super new ignition system; 	Jaguar	Fair	Minivan	3720.0	Fuel Cell	Gray	2023-06-20	3200.57	C8583214663	user22			
HGHHV1IWCUX780355	RANGE ROVER SPORT	2015	good gear; 	Land Rover	Very Good	Minivan	2940.0	Gas	Silver	2022-12-24	5490.09	B2638494209	owner	2023-07-17	D6100357446	user20
HIEWYKOMDAK597903	FORTWO	2005	no redline; manual transmission; best possible traction; 	smart	Excellent	SUV	148598.0	Plugin Hybrid	Rose	2023-05-20	4646.30	C8307257184	user13	2023-07-26	D5950814801	user23
HJHFHI4TARG736468	JOURNEY	2015	air filtration system; 	Dodge	Fair	Coupe	58340.0	Plugin Hybrid	White	2022-10-08	4422.04	B5738835693	user04	2022-12-20	A9361688715	user07
HRBDCA8RAE0685886	VOYAGER	2007	power train; Automotive Service Excellence (ASE); 	Chrysler	Excellent	Truck	1568.0	Gas	Claret	2022-11-27	8603.94	C9346888737	user09	2023-07-04	A3383028473	user12
HTIAUKNL6TA101731	VT750C SHADOW AERO	2009		Honda	Very Good	SUV	55444.0	Diesel	Beige	2022-09-06	3870.70	A6986218675	user11	2023-01-15	B7131079555	user21
HUJ762ME6OB336499	SEBRING	2009	best oil pump; 	Chrysler	Fair	Convertible	80010.0	Gas	Rose	2023-04-24	1652.08	C0673239779	user13	2023-04-28	B7131079555	user03
HXP0L3Y7NRP032607	TERRAIN	2012		GMC	Very Good	SUV	4512.0	Fuel Cell	Turquoise	2022-11-02	3393.84	22-1607231	user13	2023-08-22	D8191703970	user07
I2Y84J2JYUI249817	NV200	2014	check the Monroney sticker - theer is nothing better than this vehicle; 	Nissan	Good	Coupe	36204.0	Gas	Black	2023-07-09	3209.95	C3289101401	user13			
I4ZQBJWMKGO132368	MKT	2014	Automotive Service Excellence (ASE); 	Lincoln	Very Good	Convertible	67371.0	Gas	Orange	2023-05-23	2516.57	A1981245672	user09	2023-08-08	A0461291890	user03
I5E5PHXL5CF199096	OPTIMA	2010		Kia	Excellent	Coupe	22229.0	Gas	Yellow	2022-09-22	2794.30	64-7492958	user11			
I7TC64WMFN3679469	V8 VANTAGE	2009		Aston Martin	Very Good	SUV	58960.0	Gas	Beige,Bronze	2023-07-26	2834.73	C4236470136	user05	2023-08-20	D3731035683	user08
