INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('036EG6XGHFJ822528-001', '036EG6XGHFJ822528', '1', 'Bioholding', 'user09', 81.07000000000001);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0SR7K3TGOVW149442-003', '0SR7K3TGOVW149442', '3', 'Bioholding', 'user09', 68.50999999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0SR7K3TGOVW149442-004', '0SR7K3TGOVW149442', '4', 'Bioholding', 'user09', 5.61);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0SR7K3TGOVW149442-005', '0SR7K3TGOVW149442', '5', 'Donware', 'user09', 56.41);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0XPRYKN4QTB854977-001', '0XPRYKN4QTB854977', '1', 'Plusstrip', 'user09', 135.97);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('15WH5TNL8GD986516-001', '15WH5TNL8GD986516', '1', 'Streethex', 'user09', 142.85999999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('15WH5TNL8GD986516-002', '15WH5TNL8GD986516', '2', 'J-Texon', 'user09', 36.62);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1A8CMLRTUGR146952-001', '1A8CMLRTUGR146952', '1', 'Dontechi', 'user09', 107.84);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1A8CMLRTUGR146952-002', '1A8CMLRTUGR146952', '2', 'Green-Plus', 'user09', 510.84999999999997);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1A8CMLRTUGR146952-003', '1A8CMLRTUGR146952', '3', 'Streethex', 'user09', 453.29999999999995);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1C05IGNBBB6823554-001', '1C05IGNBBB6823554', '1', 'Newex', 'user09', 332.15);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1C05IGNBBB6823554-002', '1C05IGNBBB6823554', '2', 'Dontechi', 'user09', 42.72);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1GIQVMBR2A2798107-001', '1GIQVMBR2A2798107', '1', 'Scotfind', 'user09', 227.31);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1GIQVMBR2A2798107-002', '1GIQVMBR2A2798107', '2', 'Plusstrip', 'user09', 78.44);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1GIQVMBR2A2798107-003', '1GIQVMBR2A2798107', '3', 'Donware', 'user09', 140.24);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1GIQVMBR2A2798107-004', '1GIQVMBR2A2798107', '4', 'Scotfind', 'user09', 421.1);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1HHB3PGRMMK153438-001', '1HHB3PGRMMK153438', '1', 'J-Texon', 'user09', 32.49);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1HHB3PGRMMK153438-002', '1HHB3PGRMMK153438', '2', 'Ontomedia', 'user09', 34.38);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1HHB3PGRMMK153438-003', '1HHB3PGRMMK153438', '3', 'Donware', 'user09', 32.8);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1HHB3PGRMMK153438-004', '1HHB3PGRMMK153438', '4', 'Plusstrip', 'user09', 4.28);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1JRH0ZBVOBE937509-001', '1JRH0ZBVOBE937509', '1', 'Donware', 'user09', 97.45);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1M1GEHMECS1730055-001', '1M1GEHMECS1730055', '1', 'J-Texon', 'user09', 18.7);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1P2ISJXQKIW025651-001', '1P2ISJXQKIW025651', '1', 'Isdom', 'user09', 166.38);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1RMG763RUOZ482821-001', '1RMG763RUOZ482821', '1', 'Scotfind', 'user09', 663.19);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1RMG763RUOZ482821-002', '1RMG763RUOZ482821', '2', 'Bioholding', 'user09', 245.99);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1RMG763RUOZ482821-003', '1RMG763RUOZ482821', '3', 'Bioholding', 'user09', 394.4699999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1RMG763RUOZ482821-004', '1RMG763RUOZ482821', '4', 'Stanredtax', 'user09', 249.32);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1U7J5TO2RMU974230-001', '1U7J5TO2RMU974230', '1', 'Bioholding', 'user09', 145.49);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1V61QHRD20E210923-001', '1V61QHRD20E210923', '1', 'Scotfind', 'user09', 144.93);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1V61QHRD20E210923-002', '1V61QHRD20E210923', '2', 'Bioholding', 'user09', 215.34);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1V61QHRD20E210923-003', '1V61QHRD20E210923', '3', 'Doncon', 'user09', 98.65);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('1V61QHRD20E210923-004', '1V61QHRD20E210923', '4', 'Xx-zobam', 'user09', 68.27000000000001);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2BEGOJVB21D198188-001', '2BEGOJVB21D198188', '1', 'Rundofase', 'user09', 89.73);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2BEGOJVB21D198188-002', '2BEGOJVB21D198188', '2', 'Newex', 'user09', 557.8499999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2CB6WLH88NB344487-001', '2CB6WLH88NB344487', '1', 'Xx-zobam', 'user09', 121.14);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2CB6WLH88NB344487-002', '2CB6WLH88NB344487', '2', 'Xx-zobam', 'user09', 164.97);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2CB6WLH88NB344487-003', '2CB6WLH88NB344487', '3', 'Scotfind', 'user09', 149.64);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2CB6WLH88NB344487-004', '2CB6WLH88NB344487', '4', 'Rundofase', 'user09', 49.76);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2DHOH4P4672123749-001', '2DHOH4P4672123749', '1', 'Yearin', 'user09', 146.75);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2DHOH4P4672123749-002', '2DHOH4P4672123749', '2', 'J-Texon', 'user09', 43.3);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2DHOH4P4672123749-003', '2DHOH4P4672123749', '3', 'Doncon', 'user09', 90.38);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2DHOH4P4672123749-004', '2DHOH4P4672123749', '4', 'Faxquote', 'user09', 201.61);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2DHOH4P4672123749-005', '2DHOH4P4672123749', '5', 'Scotfind', 'user09', 219.01);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2JUBCDLLXSB731848-001', '2JUBCDLLXSB731848', '1', 'Plusstrip', 'user09', 85.15);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2JUBCDLLXSB731848-002', '2JUBCDLLXSB731848', '2', 'Green-Plus', 'user09', 188.81);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2LUXDFJTYZA796766-001', '2LUXDFJTYZA796766', '1', 'J-Texon', 'user09', 188.82);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2LUXDFJTYZA796766-002', '2LUXDFJTYZA796766', '2', 'Scotfind', 'user09', 328.37);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2LUXDFJTYZA796766-003', '2LUXDFJTYZA796766', '3', 'Donquadtech', 'user09', 88.87);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2MSC0A8PW8U686208-001', '2MSC0A8PW8U686208', '1', 'Konmatfix', 'user09', 239.51);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2MSC0A8PW8U686208-002', '2MSC0A8PW8U686208', '2', 'Plusstrip', 'user09', 88.14);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2MSC0A8PW8U686208-003', '2MSC0A8PW8U686208', '3', 'Plusstrip', 'user09', 170.14);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2N45QQ7SMY3757149-001', '2N45QQ7SMY3757149', '1', 'Dontechi', 'user09', 54.61);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2N45QQ7SMY3757149-002', '2N45QQ7SMY3757149', '2', 'Doncon', 'user09', 391.08000000000004);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2N45QQ7SMY3757149-003', '2N45QQ7SMY3757149', '3', 'Faxquote', 'user09', 84.27);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2N45QQ7SMY3757149-004', '2N45QQ7SMY3757149', '4', 'Isdom', 'user09', 172.26999999999998);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2N45QQ7SMY3757149-005', '2N45QQ7SMY3757149', '5', 'Plusstrip', 'user09', 56.51);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2Y1UCXYY50T192604-001', '2Y1UCXYY50T192604', '1', 'Xx-zobam', 'user09', 862.25);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2Y1UCXYY50T192604-002', '2Y1UCXYY50T192604', '2', 'Scotfind', 'user09', 1178.06);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2Y1UCXYY50T192604-003', '2Y1UCXYY50T192604', '3', 'Isdom', 'user09', 192.74);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2Y1UCXYY50T192604-004', '2Y1UCXYY50T192604', '4', 'Isdom', 'user09', 689.52);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2Y1UCXYY50T192604-005', '2Y1UCXYY50T192604', '5', 'Bioholding', 'user09', 322.33);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2YHAF0V8512939431-001', '2YHAF0V8512939431', '1', 'Ontomedia', 'user09', 542.1);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2YHAF0V8512939431-002', '2YHAF0V8512939431', '2', 'Isdom', 'user09', 50.29);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2YTUEYSLDJG398062-001', '2YTUEYSLDJG398062', '1', 'Streethex', 'user09', 122.86000000000001);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('2YTUEYSLDJG398062-002', '2YTUEYSLDJG398062', '2', 'Scotfind', 'user09', 14.87);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('30YUJXKGY7I314746-001', '30YUJXKGY7I314746', '1', 'J-Texon', 'user09', 3.91);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('30YUJXKGY7I314746-002', '30YUJXKGY7I314746', '2', 'Stanredtax', 'user09', 95.78);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('30YUJXKGY7I314746-003', '30YUJXKGY7I314746', '3', 'Doncon', 'user09', 157.20999999999998);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('323F5QUAPKX190724-001', '323F5QUAPKX190724', '1', 'Doncon', 'user09', 53.17);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('323F5QUAPKX190724-002', '323F5QUAPKX190724', '2', 'Plusstrip', 'user09', 125.45);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('340C5KYKWVM715838-001', '340C5KYKWVM715838', '1', 'Stanredtax', 'user09', 240.57999999999998);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('3464CBUBJ3G311266-001', '3464CBUBJ3G311266', '1', 'J-Texon', 'user09', 116.13);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('3EAZYH5SPE8904041-001', '3EAZYH5SPE8904041', '1', 'Bioholding', 'user09', 181.23000000000002);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('3EAZYH5SPE8904041-002', '3EAZYH5SPE8904041', '2', 'Xx-zobam', 'user09', 674.33);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('3NED8CVSG6V494138-001', '3NED8CVSG6V494138', '1', 'Yearin', 'user09', 259.5);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('3NED8CVSG6V494138-002', '3NED8CVSG6V494138', '2', 'Konmatfix', 'user09', 141.11);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('3NED8CVSG6V494138-003', '3NED8CVSG6V494138', '3', 'Rundofase', 'user09', 87.1);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('3P0R7483FP1117876-001', '3P0R7483FP1117876', '1', 'Streethex', 'user09', 230.48);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('3P0R7483FP1117876-002', '3P0R7483FP1117876', '2', 'Yearin', 'user09', 25.85);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('3P0R7483FP1117876-003', '3P0R7483FP1117876', '3', 'Xx-zobam', 'user09', 98.21);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('3P0R7483FP1117876-004', '3P0R7483FP1117876', '4', 'Yearin', 'user09', 241.82);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('3P0R7483FP1117876-005', '3P0R7483FP1117876', '5', 'Newex', 'user09', 89.63);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4BSRNVZZ2CQ691731-001', '4BSRNVZZ2CQ691731', '1', 'Newex', 'user09', 45.72);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4BW4C1KL6TZ577336-001', '4BW4C1KL6TZ577336', '1', 'J-Texon', 'user09', 166.37);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4BW4C1KL6TZ577336-002', '4BW4C1KL6TZ577336', '2', 'Donquadtech', 'user09', 99.06);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4BW4C1KL6TZ577336-003', '4BW4C1KL6TZ577336', '3', 'Ontomedia', 'user09', 156.76);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4BW4C1KL6TZ577336-004', '4BW4C1KL6TZ577336', '4', 'Streethex', 'user09', 98.14);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4HVC60L66KI459720-001', '4HVC60L66KI459720', '1', 'Streethex', 'user09', 44.54);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4HVC60L66KI459720-002', '4HVC60L66KI459720', '2', 'Dontechi', 'user09', 193.63);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4QL2U7A4H4J019100-001', '4QL2U7A4H4J019100', '1', 'Faxquote', 'user09', 142.88);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4QL2U7A4H4J019100-002', '4QL2U7A4H4J019100', '2', 'Doncon', 'user09', 100.25);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4RJT1NOLXUG037441-001', '4RJT1NOLXUG037441', '1', 'Newex', 'user09', 10.4);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4RJT1NOLXUG037441-002', '4RJT1NOLXUG037441', '2', 'Green-Plus', 'user09', 82.97999999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4RJT1NOLXUG037441-003', '4RJT1NOLXUG037441', '3', 'Green-Plus', 'user09', 173.62);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4RJT1NOLXUG037441-004', '4RJT1NOLXUG037441', '4', 'Isdom', 'user09', 72.42);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4TJ5T18OMFN710800-001', '4TJ5T18OMFN710800', '1', 'Xx-zobam', 'user09', 257.64);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4TJ5T18OMFN710800-002', '4TJ5T18OMFN710800', '2', 'Doncon', 'user09', 342.36);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('4TJ5T18OMFN710800-003', '4TJ5T18OMFN710800', '3', 'Donware', 'user09', 250.34);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('55M41D1AGKW204016-001', '55M41D1AGKW204016', '1', 'Scotfind', 'user09', 104.91999999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('55M41D1AGKW204016-002', '55M41D1AGKW204016', '2', 'Streethex', 'user09', 69.17);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('55M41D1AGKW204016-003', '55M41D1AGKW204016', '3', 'Bioholding', 'user09', 43.93);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5DAWXIM4EAK735462-001', '5DAWXIM4EAK735462', '1', 'Faxquote', 'user09', 542.6899999999999);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5DAWXIM4EAK735462-002', '5DAWXIM4EAK735462', '2', 'Dontechi', 'user09', 395.09000000000003);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5DAWXIM4EAK735462-003', '5DAWXIM4EAK735462', '3', 'Faxquote', 'user09', 254.93);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5IZQ0A8JNL8536828-001', '5IZQ0A8JNL8536828', '1', 'Xx-zobam', 'user09', 86.71000000000001);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5IZQ0A8JNL8536828-002', '5IZQ0A8JNL8536828', '2', 'Stanredtax', 'user09', 53.099999999999994);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5IZQ0A8JNL8536828-003', '5IZQ0A8JNL8536828', '3', 'Yearin', 'user09', 60.25);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5IZQ0A8JNL8536828-004', '5IZQ0A8JNL8536828', '4', 'Doncon', 'user09', 181.5);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5IZQ0A8JNL8536828-005', '5IZQ0A8JNL8536828', '5', 'Streethex', 'user09', 302.09);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5JVO4MGJYXC563627-001', '5JVO4MGJYXC563627', '1', 'Donquadtech', 'user09', 83.03);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5L5RPVESTIA976918-001', '5L5RPVESTIA976918', '1', 'Isdom', 'user09', 24.81);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5L5RPVESTIA976918-002', '5L5RPVESTIA976918', '2', 'Isdom', 'user09', 62.31);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5MS17EW23YR611242-001', '5MS17EW23YR611242', '1', 'Donware', 'user09', 50.45);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5NFMDSJIMMB492412-001', '5NFMDSJIMMB492412', '1', 'Ontomedia', 'user09', 355.59000000000003);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5NFMDSJIMMB492412-002', '5NFMDSJIMMB492412', '2', 'Xx-zobam', 'user09', 293.26);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5NFMDSJIMMB492412-003', '5NFMDSJIMMB492412', '3', 'Rundofase', 'user09', 308.92);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('5NFMDSJIMMB492412-004', '5NFMDSJIMMB492412', '4', 'Plusstrip', 'user09', 288.82);
